tip,date,group
Riyadh-KSA-16121_2015_KU851860_human_2015-08-24,2015-08-24,human
Riyadh-KSA-3181_2015_KT806049_human_2015-02-15,2015-02-15,human
Jeddah_D38b_2014_KT368833_camel_2014-12,2014-12,camel
Jeddah_D40_2014_KT368834_camel_2014-12,2014-12,camel
Taif_T89_2015_KT368885_camel_2015-04,2015-04,camel
Riyadh_KKUH_1080__human_2015-03-03,2015-03-03,human
Jeddah_N51_2014_KT368846_camel_2014-11,2014-11,camel
Jeddah_D50b_2014_KT368842_camel_2014-12,2014-12,camel
Jeddah_Jd7_2015_KT368861_camel_2015-01,2015-01,camel
Jeddah_Jd86_2015_KT368863_camel_2015-01,2015-01,camel
KOR_KNIH_002_05_2015_KT029139_human_2015-05-20,2015-05-20,human
KOREA_Seoul_163-1-2015_KT374051_human_2015-06-19,2015-06-19,human
Riyadh_Ry162_2015_KT368871_camel_2015-03,2015-03,camel
Taif_T16_2015_KT368882_camel_2015-04,2015-04,camel
Taif_T22_2015_KT368883_camel_2015-04,2015-04,camel
Taif_T3_2015_KT368880_camel_2015-04,2015-04,camel
Taif_T7_2015_KT368881_camel_2015-04,2015-04,camel
Taif_T68_2015_KT368884_camel_2015-04,2015-04,camel
Taif_T91b_2015_KT368886_camel_2015-04,2015-04,camel
Jordan_10_2015_KU233362_human_2015-09-17,2015-09-17,human
Jordan_1_2015_KU233363_human_2015-09-17,2015-09-17,human
Riyadh-KSA-16098_2015_KU851864_human_2015-08-24,2015-08-24,human
Jeddah_D47_2014_KT368839_camel_2014-12,2014-12,camel
Jeddah_D45_2014_KT368837_camel_2014-12,2014-12,camel
Jeddah_Jd4_2015_KT368859_camel_2015-01,2015-01,camel
Jeddah_Jd87_2015_KT368864_camel_2015-01,2015-01,camel
ChinaGD01_KT036372_human_2015-05-28,2015-05-28,human
KOR_CNUH_SNU_038_06_2015_KT868870_human_2015-06-10,2015-06-10,human
Hufuf-KSA-9158_2015_KT806047_human_2015-03-27,2015-03-27,human
Riyadh_Ry79_2015_KT368878_camel_2015-03,2015-03,camel
Riyadh-KSA-16077_2015_KU851863_human_2015-08-27,2015-08-27,human
Riyadh-KSA-16117_2015_KU851862_human_2015-08-24,2015-08-24,human
Riyadh-KSA-16120_2015_KU851861_human_2015-08-24,2015-08-24,human
Riyadh_KSA_2959_2015_KT026453_human_2015-02-10,2015-02-10,human
Riyadh_KKUH_0755__human_2015-02-23,2015-02-23,human
Riyadh_KKUH_0756__human_2015-02-23,2015-02-23,human
Jeddah_D48_2014_KT368840_camel_2014-12,2014-12,camel
Jeddah_N62b_2014_KT368847_camel_2014-11,2014-11,camel
Jeddah_Jd1b_2015_KT368858_camel_2015-01,2015-01,camel
Jeddah_Jd6b_2015_KT368860_camel_2015-01,2015-01,camel
Jeddah_Jd85_2015_KT368862_camel_2015-01,2015-01,camel
Jeddah_Jd90_2015_KT368865_camel_2015-01,2015-01,camel
KOR_CNUH_SNU_054_06_2015_KT868871_human_2015-06-09,2015-06-09,human
D1271_15_KX108945_camel_2015-05-29,2015-05-29,camel
Najran-KSA-C20915_2015_KT806054_human_2015-02-13,2015-02-13,human
Riyadh_KSA_4050_2015_KT026454_human_2015-03-01,2015-03-01,human
Riyadh_KKUH_0734__human_2015-02-18,2015-02-18,human
Jeddah_N68b_2014_KT368848_camel_2014-11,2014-11,camel
Jeddah_D43b_2014_KT368836_camel_2014-12,2014-12,camel
Jeddah_D46b_2014_KT368838_camel_2014-12,2014-12,camel
KOR_Seoul_014-2015_KX034093_human_2015-05-30,2015-05-30,human
KOR_CNUH_SNU_122_06_2015_KT868875_human_2015-06-10,2015-06-10,human
KOR_Seoul_066-2015_KX034095_human_2015-06-04,2015-06-04,human
KOR_Seoul_050-1-2015_KX034094_human_2015-06-11,2015-06-11,human
D1189.1_15_KX108946_camel_2015-05-18,2015-05-18,camel
THA_CU_17_06_2015_KT225476_human_2015-06-17,2015-06-17,human
Jeddah-KSA-C20843_2015_KT806044_human_2015-02-09,2015-02-09,human
